單字編號,漢字,假名拼音(分別),假名拼音,重音,詞性,中文意思,常用例句 1日,常用例句 1中,常用例句 2日,常用例句 2中,常用例句 1題目,常用例句 1答案,常用例句 2題目,常用例句 2答案
22,暖める / 温める,あたた.める,あたためる,[4],他動二,加熱/溫暖,スープを温める。,加熱湯。,部屋を暖める。,讓房間變暖。,スープを（　　　　）。,温める,部屋を（　　　　）。,暖める
23,辺り,あた.り,あたり,[1],名詞,附近/周圍,この辺り。,這附近。,辺りを見回す。,環顧四周。,この（　　　）。,辺り,（　　　）を見回す。,辺り
24,当たり前,あ.たり.まえ,あたりまえ,[0],名詞/な形,理所當然,当たり前のこと。,理所當然的事。,できて当たり前だ。,能做到是理所當然的。,（　　　　　）のこと。,当たり前,できて（　　　　　）だ。,当たり前
25,当たる,あ.たる,あたる,[0],自動一,碰觸/中獎/猜中,ボールが当たる。,球打中了。,宝くじが当たる。,中彩券。,ボールが（　　　）。,当たる,宝くじが（　　　）。,当たる
26,あちこち,あちこち,あちこち,[2],代名詞/狀態副詞,到處/四處,あちこちを探す。,到處尋找。,あちこち旅行する。,四處旅行。,（　　　　）を探す。,あちこち,（　　　　）旅行する。,あちこち
27,扱う,あつか.う,あつかう,[3],他動一,處理/操作/對待,機械を慎重に扱う。,謹慎地操作機械。,丁寧にお客様を扱う。,禮貌地對待客人。,機械を慎重に（　　　）。,扱う,丁寧にお客様を（　　　）。,扱う
28,あっという間に,あっ.と.いう.ま.に,あっというまに,[0],慣用,轉眼間/一眨眼,あっという間に終わった。,轉眼間就結束了。,時間があっという間に過ぎる。,時間一眨眼就過去了。,（　　　　　　　　）終わった。,あっという間に,時間が（　　　　　　　　）過ぎる。,あっという間に
29,集まり,あつ.まり,あつまり,[3],名詞,聚會/集合,家族の集まり。,家庭聚會。,集まりが悪い。,出席率/集合狀況不佳。,家族の（　　　　）。,集まり,（　　　　）が悪い。,集まり
30,当てる,あ.てる,あてる,[0],他動二,碰觸/猜中/分配,日に当てる。,曬太陽。,答えを当てる。,猜中答案。,日に（　　　）。,当てる,答えを（　　　）。,当てる
31,跡,あと,あと,[1],名詞,痕跡/遺跡,足跡を残す。,留下腳印。,傷跡が消える。,傷痕消失。,足（　　）を残す。,跡,傷（　　）が消える。,跡
32,アドバイス,アドバイス,アドバイス,[3],名詞/自他動三,建議/勸告,先生からアドバイスをもらう。,得到老師的建議。,適切なアドバイスをする。,給予適當的建議。,先生から（　　　　　）をもらう。,アドバイス,適切な（　　　　　）をする。,アドバイス
33,穴,あな,あな,[2],名詞,洞/穴,地面に穴を掘る。,在地上挖洞。,服に穴が開いた。,衣服破了個洞。,地面に（　　）を掘る。,穴,服に（　　）が開いた。,穴
34,暴れる,あば.れる,あばれる,[3],自動二,暴躁/胡鬧,お酒を飲んで暴れる。,發酒瘋胡鬧。,犯人が暴れる。,犯人反抗施暴。,お酒を飲んで（　　　　）。,暴れる,犯人が（　　　　）。,暴れる
35,余り,あま.り,あまり,[3],名詞/程度副詞,剩餘/(接否定)不太,お金の余りはない。,沒有剩餘的錢。,料理の余り物を食べる。,吃剩菜。,お金の（　　　）はない。,余り,料理の（　　　）物を食べる。,余り
36,粗い,あら.い,あらい,[0]/[2],い形,粗糙的/粗暴的,表面が粗い。,表面粗糙。,走ったので息が粗くなる。,因為跑步而呼吸急促。,表面が（　　　）。,粗い,走ったので息が（　　）なる。,粗く
37,嵐,あらし,あらし,[1],名詞,暴風雨,嵐が来る。,暴風雨要來了。,嵐のような拍手。,如暴風雨般的掌聲。,（　　）が来る。,嵐,（　　）のような拍手。,嵐
38,新た,あら.た,あらた,[1],な形,新的/重新,新たな気持ちで始める。,以全新的心情開始。,新たな発見をする。,有新發現。,（　　　）な気持ちで始める。,新た,（　　　）な発見をする。,新た
39,あらゆる,あらゆる,あらゆる,[3],接續,所有/一切的,あらゆる方法を試す。,嘗試所有方法。,あらゆる可能性を考える。,考慮一切可能性。,（　　　　）方法を試す。,あらゆる,（　　　　）可能性を考える。,あらゆる
40,表す,あらわ.す,あらわす,[3],他動一,表達/表現(感情/意義),感謝の気持ちを表す。,表達感謝的心情。,怒りを顔に表す。,把憤怒表現在臉上。,感謝の気持ちを（　　　）。,表す,怒りを顔に（　　　）。,表す
41,現す,あらわ.す,あらわす,[3],他動一,顯露/出現(形體),ついに姿を現す。,終於露出身影。,正体を現す。,露出真面目。,ついに姿を（　　　）。,現す,正体を（　　　）。,現す
42,現れる,あらわ.れる,あらわれる,[4],自動二,出現/顯露(狀態),太陽が雲の間から現れる。,太陽從雲層間出現。,影響が目に見えて現れる。,影響明顯地顯露出來。,太陽が雲の間から（　　　　）。,現れる,影響が目に見えて（　　　　）。,現れる
43,あるいは,あるいは,あるいは,[2],接續/陳述副詞,或者/也許,黒あるいは白を選ぶ。,選擇黑或白。,あるいは彼が正しいかもしれない。,也許他是對的。,黒（　　　　）白を選ぶ。,あるいは,（　　　　）彼が正しいかもしれない。,あるいは
44,アルバム,アルバム,アルバム,[0],名詞,相簿/專輯,昔のアルバムを見る。,看以前的相簿。,卒業アルバム。,畢業紀念冊。,昔の（　　　　）を見る。,アルバム,卒業（　　　　）。,アルバム
45,合わせる,あ.わせる,あわせる,[3],他動二,配合/合併/對準,力と力を合わせる。,齊心協力。,時計の時間を合わせる。,對準時鐘的時間。,力と力を（　　　　）。,合わせる,時計の時間を（　　　　）。,合わせる
46,案,あん,あん,[1],名詞,提案/草案/想法,良い案が浮かぶ。,浮現好點子。,新しい案を出す。,提出新草案。,良い（　　）が浮かぶ。,案,新しい（　　）を出す。,案
47,暗記,あん.き,あんき,[0],名詞/他動三,背誦/熟記,英単語を暗記する。,背誦英文單字。,円周率を暗記する。,背誦圓周率。,英単語を（　　　）する。,暗記,円周率を（　　　）する。,暗記
48,アンケート,アンケート,アンケート,[1],名詞,問卷調查,アンケートに答える。,回答問卷。,アンケート調査を行う。,進行問卷調查。,（　　　　　）に答える。,アンケート,（　　　　　）調査を行う。,アンケート
49,安定,あん.てい,あんてい,[0],名詞/自動三,穩定/安定,安定した生活を送る。,過著安定的生活。,物価が安定する。,物價穩定。,（　　　）した生活を送る。,安定,物価が（　　　）する。,安定
50,あんなに,あんなに,あんなに,[0],程度副詞,那麼地,あんなに怒るとは思わなかった。,沒想到他會那麼生氣。,あんなに食べたのにまだお腹が空く。,吃了那麼多卻還是肚子餓。,（　　　　）怒るとは思わなかった。,あんなに,（　　　　）食べたのにまだお腹が空く。,あんなに
51,あんまり,あんまり,あんまり,[0],程度副詞/名詞,太/過分/(接否定)不太,このケーキはあんまり美味しくない。,這蛋糕不太好吃。,それはあんまりだ。,那太過分了。,このケーキは（　　　　）美味しくない。,あんまり,それは（　　　　）だ。,あんまり
52,委員,い.いん,いいん,[1],名詞,委員,委員に選ばれる。,被選為委員。,委員長を務める。,擔任委員長。,（　　　）に選ばれる。,委員,（　　　）長を務める。,委員
53,意外,い.がい,いがい,[0],名詞/な形,意外/意想不到,意外な結果になった。,變成了意想不到的結果。,彼が休むとは意外だ。,他竟然會請假真是令人意外。,（　　　）な結果になった。,意外,彼が休むとは（　　　）だ。,意外
54,息,いき,いき,[1],名詞,呼吸/氣息,深く息を吸う。,深呼吸。,走って息を切らす。,跑得氣喘吁吁。,深く（　　）を吸う。,息,走って（　　）を切らす。,息
55,勢い,いきお.い,いきおい,[3],名詞,氣勢/勢頭,水の勢いが強い。,水勢很強。,勢いに乗って勝つ。,乘勢獲勝。,水の（　　　　）が強い。,勢い,（　　　　）に乗って勝つ。,勢い
56,生き物,い.き.もの,いきもの,[2]/[3],名詞,生物/動物,海の生き物を観察する。,觀察海洋生物。,全ての生き物を大切にする。,珍惜所有生物。,海の（　　　　）を観察する。,生き物,全ての（　　　　）を大切にする。,生き物
57,医師,い.し,いし,[1],名詞,醫師,医師の診断を受ける。,接受醫師的診斷。,彼は優秀な医師だ。,他是位優秀的醫師。,（　　　）の診断を受ける。,医師,彼は優秀な（　　　）だ。,医師
58,意思,い.し,いし,[1],名詞,意思/意圖/想法,自分の意思を伝える。,傳達自己的想法。,意思の疎通を図る。,設法溝通想法。,自分の（　　　）を伝える。,意思,（　　　）の疎通を図る。,意思
59,意志,い.し,いし,[1],名詞,意志/決心,強い意志を持つ。,擁有堅強的意志。,彼女は意志が固い。,她的意志很堅定。,強い（　　　）を持つ。,意志,彼女は（　　　）が固い。,意志
60,維持,い.じ,いじ,[1],名詞/他動三,維持/保養,健康を維持する。,維持健康。,現状を維持する。,維持現狀。,健康を（　　　）する。,維持,現状を（　　　）する。,維持
61,意識,い.しき,いしき,[1],名詞/他動三,意識/察覺,問題を意識する。,意識到問題。,意識を失う。,失去意識。,問題を（　　　）する。,意識,（　　　）を失う。,意識
62,異常,い.じょう,いじょう,[0],名詞/な形,異常/不正常,機械から異常な音がする。,機器發出異常的聲音。,気象の異常。,氣象異常。,機械から（　　　）な音がする。,異常,気象の（　　　）。,異常
63,泉,いずみ,いずみ,[0],名詞,泉水,山の中の泉。,山中的泉水。,知識の泉。,知識的泉源。,山の中の（　　　）。,泉,知識の（　　　）。,泉
64,いずれ,いずれ,いずれ,[0],時間副詞/代名詞,遲早/總有一天,いずれ分かるだろう。,遲早會明白的。,いずれにしても行く。,無論如何都要去。,（　　　）分かるだろう。,いずれ,（　　　）にしても行く。,いずれ
65,以前,い.ぜん,いぜん,[1],名詞/時間副詞,以前/從前,以前、そこへ行った。,以前去過那裡。,以前より良くなった。,比以前更好了。,（　　　）、そこへ行った。,以前,（　　　）より良くなった。,以前
66,板,いた,いた,[1],名詞,板子/木板,木の板を切る。,切木板。,まな板。,砧板。,木の（　　）を切る。,板,まな（　　）。,板
67,偉大,い.だい,いだい,[0],な形,偉大,偉大な発明家。,偉大的發明家。,偉大な業績を残す。,留下偉大的業績。,（　　　）な発明家。,偉大,（　　　）な業績を残す。,偉大
68,悪戯,いたずら,いたずら,[0],名詞/な形/自動三,惡作劇,子供が悪戯をする。,小孩惡作劇。,悪戯な笑顔。,淘氣的笑容。,子供が（　　　　）をする。,悪戯,（　　　　）な笑顔。,悪戯
69,痛み,いた.み,いたみ,[3],名詞,疼痛/苦痛,痛みを和らげる。,緩解疼痛。,胃に痛みを感じる。,感覺到胃痛。,（　　　）を和らげる。,痛み,胃に（　　　）を感じる。,痛み
70,痛める,いた.める,いためる,[3],他動二,弄痛/傷害,足を痛める。,弄傷腳。,心を痛める。,感到心痛/傷心。,足を（　　　　）。,痛める,心を（　　　　）。,痛める
71,位置,い.ち,いち,[1],名詞/自動三,位置,現在の位置を確認する。,確認目前的位置。,パーツの位置を調整する。,調整零件的位置。,現在の（　　）を確認する。,位置,パーツの（　　）を調整する。,位置
72,苺,いちご,いちご,[0],名詞,草莓,苺のケーキ。,草莓蛋糕。,苺を摘む。,採草莓。,（　　　）のケーキ。,苺,（　　　）を摘む。,苺
73,一度に,い.ち.ど.に,いちどに,[3],狀態副詞,一次/同時,一度にたくさん運ぶ。,一次搬運很多。,一度に二つのことはできない。,無法同時做兩件事。,（　　　　）たくさん運ぶ。,一度に,（　　　　）二つのことはできない。,一度に
74,市場,いち.ば,いちば,[1],名詞,市場(實體),市場で野菜を買う。,在市場買蔬菜。,魚市場。,魚市場。,（　　　）で野菜を買う。,市場,魚（　　　）。,市場
75,いつか,いつか,いつか,[1],時間副詞,總有一天/不知何時,いつか日本に住みたい。,總有一天想住在日本。,いつか来た道。,不知何時來過的路。,（　　　）日本に住みたい。,いつか,（　　　）来た道。,いつか
76,一家,いっ.か,いっか,[1],名詞,一家/全家,一家で旅行する。,全家去旅行。,一家の大黒柱。,一家之主。,（　　　）で旅行する。,一家,（　　　）の大黒柱。,一家
77,一瞬,いっ.しゅん,いっしゅん,[0],名詞/時間副詞,一瞬間,一瞬の出来事。,一瞬間發生的事。,一瞬、気を失った。,一瞬間失去了意識。,（　　　　）の出来事。,一瞬,（　　　　）、気を失った。,一瞬
78,一生,いっ.しょう,いっしょう,[0],名詞/時間副詞,一生/一輩子,一生の思い出。,一輩子的回憶。,一生懸命に頑張る。,拼命努力。,（　　　　）の思い出。,一生,（　　　　）懸命に頑張る。,一生
79,一体,いっ.たい,いったい,[0],名詞/陳述副詞,到底(表疑問)/一體,一体何が起きたのか。,到底發生了什麼事。,三位一体。,三位一體。,（　　　）何が起きたのか。,一体,三位（　　　）。,一体
80,一致,いっ.ち,いっち,[0],名詞/自動三,一致/符合,意見が一致する。,意見一致。,データが一致しない。,資料不吻合。,意見が（　　　）する。,一致,データが（　　　）しない。,一致
81,いつでも,いつでも,いつでも,[1],時間副詞,隨時/無論何時,いつでも連絡してください。,請隨時聯絡我。,彼はいつでも元気だ。,他總是很有精神。,（　　　　）連絡してください。,いつでも,彼は（　　　　）元気だ。,いつでも
82,一般,いっ.ぱん,いっぱん,[0],名詞/な形,一般/普通,一般の人々。,一般大眾。,一般的に言えば。,一般來說。,（　　　　）の人々。,一般,（　　　　）的に言えば。,一般
83,一方,いっ.ぽう,いっぽう,[3],名詞/接續,一方/另一方面,一方の意見だけを聞く。,只聽取單方面的意見。,増える一方だ。,不斷增加/只有增加的份。,（　　　　）の意見だけを聞く。,一方,増える（　　　　）だ。,一方
84,いつまでも,いつまでも,いつまでも,[1],時間副詞,永遠/直到永遠,いつまでも忘れない。,永遠不會忘記。,いつまでも若くいたい。,想永遠保持年輕。,（　　　　　）忘れない。,いつまでも,（　　　　　）若くいたい。,いつまでも
85,移動,い.どう,いどう,[0],名詞/自他動三,移動,ファイルを移動する。,移動檔案。,車で移動する。,乘車移動。,ファイルを（　　　）する。,移動,車で（　　　）する。,移動
86,従兄弟,いとこ,いとこ,[2],名詞,堂表兄弟,彼は私の従兄弟です。,他是我的堂/表兄弟。,従兄弟と遊ぶ。,和堂/表兄弟玩。,彼は私の（　　　）です。,従兄弟,（　　　）と遊ぶ。,従兄弟
87,稲,いね,いね,[1],名詞,稻子,稲を植える。,種稻子。,稲刈りをする。,割稻子。,（　　）を植える。,稲,（　　）刈りをする。,稲
88,居眠り,い.ねむ.り,いねむり,[3],名詞/自動三,打瞌睡,授業中に居眠りをする。,上課時打瞌睡。,居眠り運転は危険だ。,疲勞駕駛很危險。,授業中に（　　　　）をする。,居眠り,（　　　　）運転は危険だ。,居眠り
89,違反,い.はん,いはん,[0],名詞/自動三,違反/違規,ルールに違反する。,違反規則。,交通違反で捕まる。,因為交通違規被抓。,ルールに（　　　）する。,違反,交通（　　　）で捕まる。,違反
90,居間,い.ま,いま,[2],名詞,客廳/起居室,居間でテレビを見る。,在客廳看電視。,家族が居間に集まる。,家人聚集在客廳。,（　　）でテレビを見る。,居間,家族が（　　）に集まる。,居間
91,今にも,いま.にも,いまにも,[1],陳述副詞,眼看/馬上就要,今にも雨が降りそうだ。,眼看就要下雨了。,今にも泣き出しそうだ。,馬上就要哭出來了。,（　　　　）雨が降りそうだ。,今にも,（　　　　）泣き出しそうだ。,今にも
92,否 ,いや,いや,[1],感嘆,不 / 哎呀 (表否定或驚訝),いや、そうではありません。,不，不是那樣的。,いや、驚きました。,哎呀，真是嚇了我一跳。,（　　）、そうではありません。,いや,（　　）、驚きました。,いや
93,以来,い.らい,いらい,[1],名詞/時間副詞,以來/之後,卒業して以来、会っていない。,畢業以來就沒見過面。,先月以来、雨が降っていない。,上個月以來都沒下雨。,卒業して（　　　）、会っていない。,以来,先月（　　　）、雨が降っていない。,以来
94,いらいら,いらいら,いらいら,[1],擬聲擬態詞/自動三,焦躁/煩躁,待たされていらいらする。,讓人久等感到很焦躁。,いらいらした態度。,煩躁的態度。,待たされて（　　　　）する。,いらいら,（　　　　）した態度。,いらいら
95,医療,い.りょう,いりょう,[1],名詞,醫療,医療技術が進歩する。,醫療技術進步。,医療費を支払う。,支付醫療費。,（　　　）技術が進歩する。,医療,（　　　）費を支払う。,医療
96,岩,いわ,いわ,[2],名詞,岩石,大きな岩がある。,有顆大岩石。,岩に波が打ち当たる。,海浪拍打岩石。,大きな（　　）がある。,岩,（　　）に波が打ち当たる。,岩
97,祝い,いわ.い,いわい,[2],名詞,祝賀/賀禮,お祝いの言葉を述べる。,述說祝賀的話語。,出産のお祝いを贈る。,贈送生產賀禮。,お（　　　）の言葉を述べる。,祝い,出産のお（　　　）を贈る。,祝い
98,祝う,いわ.う,いわう,[2],他動一,祝賀/慶祝,友達の誕生日を祝う。,慶祝朋友的生日。,新年を祝う。,慶祝新年。,友達の誕生日を（　　　）。,祝う,新年を（　　　）。,祝う
99,インク,インク,インク,[0],名詞,墨水,プリンターのインクが切れた。,印表機墨水沒了。,インクの染み。,墨水污漬。,プリンターの（　　　）が切れた。,インク,（　　　）の染み。,インク
100,印刷,いん.さつ,いんさつ,[0],名詞/他動三,印刷,書類を印刷する。,列印文件。,印刷機が壊れた。,印刷機壞了。,書類を（　　　　）する。,印刷,（　　　　）機が壊れた。,印刷
101,印象,いん.しょう,いんしょう,[0],名詞,印象,第一印象が良い。,第一印象很好。,印象に残る映画。,令人印象深刻的電影。,第一（　　　　）が良い。,印象,（　　　　）に残る映画。,印象
102,インターネット,インターネット,インターネット,[5],名詞,網路,インターネットで検索する。,用網路搜尋。,インターネットに接続する。,連接網路。,（　　　　　　　）で検索する。,インターネット,（　　　　　　　）に接続する。,インターネット
103,インタビュー,インタビュー,インタビュー,[1],名詞/他動三,採訪/訪談,選手にインタビューする。,採訪選手。,インタビューを受ける。,接受採訪。,選手に（　　　　　　）する。,インタビュー,（　　　　　　）を受ける。,インタビュー
104,引退,いん.たい,いんたい,[0],名詞/自動三,引退/退休,現役を引退する。,從現役引退。,歌手が引退を発表した。,歌手發表了引退聲明。,現役を（　　　　）する。,引退,歌手が（　　　　）を発表した。,引退
105,ウイスキー,ウイスキー,ウイスキー,[2],名詞,威士忌,ウイスキーを水割りで飲む。,威士忌加水喝。,ウイスキーのグラス。,威士忌酒杯。,（　　　　　）を水割りで飲む。,ウイスキー,（　　　　　）のグラス。,ウイスキー
106,うがい,うがい,うがい,[0],名詞/自動三,漱口,帰宅したらうがいをする。,回家後要漱口。,風邪の予防にうがいをする。,為了預防感冒而漱口。,帰宅したら（　　　）をする。,うがい,風邪の予防に（　　　）をする。,うがい
107,受け入れる,う.け.い.れる,うけいれる,[4],他動二,接受/收容,留学生を受け入れる。,接收留學生。,現実を受け入れる。,接受現實。,留学生を（　　　　　）。,受け入れる,現実を（　　　　　）。,受け入れる
108,受け取る,う.け.と.る,うけとる,[0]/[3],他動一,接收/領取,荷物を受け取る。,領取包裹。,メッセージを受け取る。,接收訊息。,荷物を（　　　　）。,受け取る,メッセージを（　　　　）。,受け取る
109,動かす,うご.かす,うごかす,[3],他動一,移動/開動,重い箱を動かす。,移動重箱子。,機械を動かす。,開動機器。,重い箱を（　　　　）。,動かす,機械を（　　　　）。,動かす
110,牛,うし,うし,[0],名詞,牛,牛を飼う。,養牛。,牛の群れ。,牛群。,（　　）を飼う。,牛,（　　）の群れ。,牛
111,失う,うしな.う,うしなう,[0],他動一,失去/喪失,自信を失う。,失去自信。,職を失う。,失業。,自信を（　　　）。,失う,職を（　　　）。,失う
112,嘘,うそ,うそ,[1],名詞,謊言,嘘をつく。,說謊。,嘘がばれる。,謊言被拆穿。,（　　）をつく。,嘘,（　　）がばれる。,嘘
113,疑う,うたが.う,うたがう,[0]/[3],他動一,懷疑,彼の言葉を疑う。,懷疑他的話。,目を疑うような光景。,令人懷疑自己眼睛的光景。,彼の言葉を（　　　）。,疑う,目を（　　　）ような光景。,疑う
114,宇宙,う.ちゅう,うちゅう,[1],名詞,宇宙,宇宙へ行く。,去宇宙。,宇宙の謎を解明する。,解開宇宙之謎。,（　　　）へ行く。,宇宙,（　　　）の謎を解明する。,宇宙
115,訴える,うった.える,うったえる,[4],他動二,控訴/呼籲/引起,痛みを訴える。,訴說疼痛。,警察に訴える。,向警察控訴。,痛みを（　　　　）。,訴える,警察に（　　　　）。,訴える
116,奪う,うば.う,うばう,[2],他動一,奪取/搶走,命を奪う。,奪走生命。,自由を奪われる。,被剝奪自由。,命を（　　　）。,奪う,自由を（　　　）れる。,奪わ
117,馬,うま,うま,[2],名詞,馬,馬に乗る。,騎馬。,馬が走る。,馬在跑。,（　　）に乗る。,馬,（　　）が走る。,馬
118,生まれ,う.まれ,うまれ,[0],名詞,出生/出生地,私は東京の生まれです。,我是在東京出生的。,生まれ育った町。,出生成長的城鎮。,私は東京の（　　　）です。,生まれ,（　　　）育った町。,生まれ
119,梅,うめ,うめ,[0],名詞,梅花/梅子,梅の花が咲く。,梅花開了。,梅干しを食べる。,吃梅乾。,（　　）の花が咲く。,梅,（　　）干しを食べる。,梅
120,埋める,う.める,うめる,[0],他動二,埋/填補,穴を埋める。,填補坑洞。,タイムカプセルを土に埋める。,把時光膠囊埋進土裡。,穴を（　　　）。,埋める,タイムカプセルを土に（　　　）。,埋める
121,売り切れ,う.り.き.れ,うりきれ,[0],名詞,售罄/賣完,チケットは売り切れです。,票已經賣完了。,売り切れの看板が出る。,掛出售罄的牌子。,チケットは（　　　　）です。,売り切れ,（　　　　）の看板が出る。,売り切れ
122,売り切れる,う.り.き.れる,うりきれる,[4],自動二,賣光/銷售一空,商品がすぐに売り切れる。,商品馬上就賣光了。,弁当が全部売り切れた。,便當全部賣光了。,商品がすぐに（　　　　　）。,売り切れる,弁当が全部（　　　　　）。,売り切れた
123,売れる,う.れる,うれる,[0],自動二,暢銷/賣得出去,この本はよく売れる。,這本書很暢銷。,家が思いのほか高く売れた。,房子意外地賣了個好價錢。,この本はよく（　　　）。,売れる,家が思いのほか高く（　　　）。,売れた
124,噂,うわさ,うわさ,[0],名詞/他動三,謠言/傳聞,噂が広まる。,謠言傳開。,彼の噂を聞いた。,聽說了他的傳聞。,（　　　）が広まる。,噂,彼の（　　　）を聞いた。,噂
125,運,うん,うん,[1],名詞,運氣,運がいい。,運氣好。,運が悪かった。,運氣不好。,（　　）がいい。,運,（　　）が悪かった。,運
126,運動,うん.どう,うんどう,[0],名詞/自動三,運動,毎日運動する。,每天運動。,運動不足になる。,運動不足。,毎日（　　　　）する。,運動,（　　　　）不足になる。,運動
127,影響,えい.きょう,えいきょう,[0],名詞/自動三,影響,悪影響を及ぼす。,造成不良影響。,親の影響を受ける。,受到父母的影響。,悪（　　　　）を及ぼす。,影響,親の（　　　　）を受ける。,影響
128,営業,えい.ぎょう,えいぎょう,[0],名詞/自他動三,營業/業務,営業時間を短縮する。,縮短營業時間。,営業部で働く。,在業務部工作。,（　　　　）時間を短縮する。,営業,（　　　　）部で働く。,営業
129,衛星,えい.せい,えいせい,[0],名詞,衛星,人工衛星を打ち上げる。,發射人造衛星。,月は地球の衛星だ。,月球是地球的衛星。,人工（　　　　）を打ち上げる。,衛星,月は地球の（　　　　）だ。,衛星
130,栄養,えい.よう,えいよう,[0],名詞,營養,栄養のバランスが良い。,營養均衡。,栄養をとる。,攝取營養。,（　　　　）のバランスが良い。,栄養,（　　　　）をとる。,栄養
131,笑顔,え.がお,えがお,[1],名詞,笑容,笑顔で挨拶する。,帶著笑容打招呼。,彼女の笑顔が素敵だ。,她的笑容很迷人。,（　　　）で挨拶する。,笑顔,彼女の（　　　）が素敵だ。,笑顔
132,描く,えが.く,えがく,[2],他動一,描繪/畫,絵を描く。,畫畫。,夢を心に描く。,在心中描繪夢想。,絵を（　　　）。,描く,夢を心に（　　　）。,描く
133,餌,えさ,えさ,[2],名詞,飼料/餌,犬に餌をやる。,餵狗吃飼料。,魚の餌。,魚餌。,犬に（　　）をやる。,餌,魚の（　　）。,餌
